1,20170001,Gerwig deftly mines the family dynamics for laughs and emotion; sometimes in the same scene.
2,20170001,Oscar-worthy performances; outstanding direction; great script (so real; raw and emotional) along with tremendous editing...
3,20170001,I am awfully fond of it. This film isn't for me; but it doesn't have to be. Someone out there is going to see this film for the first time. Its heartfelt; goofy; and ever-so-slightly twee wavelength will seem to be made just for them...
4,20170001,A stupendously acted and immeasurably poignant ode to the realistic bonds and barbs of life as a high school senior.
5,20170001,Gerwig shows no hesitation over putting her character in unflattering situations. The laughs come hard; they come often; and they come from all directions.
6,20170001,Marion and Lady Bird's bond is very real; strong; and complicated like many mother-daughter bonds tend to be.
7,20170001,Writer-director Gerwig manages brilliantly the delicate feat of portraying the vulnerabilities and eccentricities of the townsfolk without patronising them.
8,20170001,If Gerwig is capable of all this in her first solo feature; who knows what feats of woodwork she'll craft for us next.
9,20170001,A gloriously funny and wistfully autobiographical coming-of-age comedy.
10,20170001,Gerwig's deft handling of script; camera and actors is all the more impressive given that this is her first film as solo director.
11,20170001,Like many wonderful actresses with a gift for words (think Julie Delpy; Sarah Polley and Lake Bell) Gerwig has slipped behind the camera to create something quietly political.
12,20170001,As teen movies go; it's supremely sophisticated; capturing and crystallising that moment in adolescence when it seems that life is at last about to start and the only place you want to be is elsewhere.
13,20170002,Get Out isn't a great film because of its excellent pacing; strongly defined characters; and mastery of tone. It's a great film because it never loses sight of its concept.
14,20170002,It's tense; angry; hilarious; and here in Trump's America; it might as well be a protest film.
15,20170002,Jordan Peele takes us on a frustrating yet ultimately victorious ride with his race-based mystery horror movie. Get Out combines genuine thrills with a no-holds-barred critique of black-white relations.
16,20170002,Get Out is so damn smart; funny; and impressively directed by Peele; who embraces certain great horror tropes; but never forgetting that the best horror and sci-fi often includes clandestine messages and commentary on modern society.
17,20170002,I liked it for what it was... I was entertained.
18,20170002,I did think it was very interesting and I'm excited for Jordan Peele to make more movies.
19,20170002,By focusing the storyline on a particular form of racism -- the kind that's often disguised as peculiar envy -- Get Out reveals something more insidious.
20,20170002,It's Guess Who's Coming to Dinner made over in the spirit of Rosemary's Baby; with accessories inspired by Meet the Fockers.
21,20170002,It's a game-changer.
22,20170002,Kudos to Peele for tackling a painful subject in such a massively entertaining and thoroughly memorable fashion. [Full review in Japanese]
23,20170002,This brilliantly provocative first feature from comic turned writer-director Jordan Peele proves that the best way to get satire to a mass audience is to call it horror.
24,20170002,Peele seduces; subverts and manipulates audience expectations - as the masters Alfred Hitchcock; John Carpenter; and Stanley Kubrick did before him.
25,20170003,At least; finally the DCCU seems willing to learn from its mistakes and improve over previous entries.
26,20170003,Wonder Woman stands proudly on its own; and a frankly astonishing sequence of Diana crossing No Man's Land alone pushes a fun blockbuster directly into iconic territory.
27,20170003,... the directing by Patty Jenkins who shows that she can take a good script and turn out great scenes and coherence. Her way of directing works fantastically well with lead Gal Gadot's interpretation of Wonder Woman.
28,20170003,Judged on equal footing as all other superhero films; as it and all movies should be; this is a terrific action film; a sly take on gender politics of the early 1900s; and a wonderfully crafted antiwar picture.
29,20170003,Part of what I really liked about this movie was that it focused on her as a character and a human being.
30,20170003,It was totally entertaining. I'm excited to see more of these movies.
31,20170003,Wonder Woman embraces issues of female power and the need to turn from hate to love; war to peace in a mainstream delivery system. And the female lead is not solely a mother; sister; girlfriend or hooker; however gold her heart: wonder of wonders!
32,20170003,The final big action sequence; as now seems always to be the case; is a messy and overwrought CGI extravaganza. But at least the movie that precedes it involves actual characters-likeable ones; even!-exhibiting recognizable human emotions.
33,20170003,Jenkins tries not only to include men on Wonder Woman's side but also to make male viewers feel better about a woman saving them.
34,20170003,Beauty; strength; goodness; bravery: These are your values; and here is how your values must look.
35,20170003,"""Wonder Woman"" is a superhero movie; and it fulfills the heroic and mythic demands of that genre; but it's also an entry in the genre of wisdom literature that shares hard-won insights and long-pondered paradoxes of the past with a sincere intimacy."
36,20170003,As befitting the genre; Wonder Woman is heroic and spirited. The fighting sequences are spectacular; and the story is engrossing; uplifting and fun. There's even a bit of romance and humor amid all the action. [Full review in Japanese]
37,20170004,"With a dedication to excellent ""show don't tell"" presentation; stunning cinematography and a downright scary soundtrack and score; Dunkirk succeeds at putting viewers in the thick of an unsung but no less dark time of the Second World War."
38,20170004,[O]ne of the most captivating and compelling films of the year so far.
